Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Action
57222,53,54587,53,182,94,83,2,30,1,1,allow
56258,3389,56258,183,4768,613,3168,19,17,10,9,allow
6881,50321,43265,50321,238,118,120,2,1199,1,1,allow
50553,3389,50553,3389,3327,1438,1889,15,17,8,7,allow
50002,443,45848,443,25358,6778,18580,31,60,21,18,allow
51465,443,34166,443,3961,954,2366,21,16,12,9,allow
60513,47094,36588,47094,320,140,180,6,7,3,3,allow
50049,443,21285,443,7912,1894,4643,23,96,12,11,allow
52244,58774,2211,58774,70,69,0,1,5,1,0,allow
50627,443,16215,443,8256,1674,6582,26,75,15,12,allow
43676,80,45378,80,696,93,318,12,35,1,5,allow
52190,443,16680,443,7942,1181,7072,22,15,10,12,allow
50690,80,20479,80,4805,3639,1166,16,33,9,7,allow
55597,53,45448,53,168,86,82,2,30,1,1,allow
49164,443,45916,443,7292,1694,6342,19,75,9,10,allow
36887,443,63451,443,10922,2532,8390,27,28,13,14,allow
1939,53,33288,53,210,78,132,2,30,1,1,allow
50281,53,33175,53,195,102,93,2,30,1,1,allow
57222,53,51448,53,177,94,83,2,30,1,1,allow
56710,53,57885,53,177,94,83,2,30,1,1,allow
48488,443,26104,443,12993,3240,9753,36,24,18,18,allow
58572,80,62082,80,4237,3610,627,15,31,8,7,allow
50693,80,54649,80,4465,3390,871,14,42,8,3,allow
40184,53,23603,53,210,78,132,2,30,1,1,allow
50172,53,52561,53,223,78,133,2,30,1,1,allow
38802,53,38802,53,216,90,126,2,30,1,1,allow
50281,53,8038,53,195,102,93,2,30,1,1,allow
55576,443,1683,443,7912,3269,4643,23,96,12,11,allow
52192,443,41129,295,13948,1150,12798,29,15,14,15,allow
57886,443,10717,443,33667,25477,8190,60,33,34,26,allow
50289,80,7131,80,7166,1086,2063,18,87,9,9,allow
58615,443,30095,443,6796,1541,5255,23,121,11,12,allow
38551,53,14191,53,168,78,90,2,30,1,1,allow
64787,53,29856,53,728,102,626,2,30,1,1,allow
34529,443,30445,201,62652,30891,31761,158,381,67,91,allow
52184,443,13267,443,13902,3253,10649,26,135,14,12,allow
60377,443,50375,443,8678,2974,5704,50,123,27,23,allow
59347,80,59347,80,108790,4633,104157,192,16,66,126,allow
50077,443,40548,443,7976,3333,4643,23,25,12,14,allow
50149,80,2917,80,11574,901,10673,20,46,11,9,allow
50004,443,10108,443,8745,2603,6142,19,15,16,15,allow
60411,80,48309,80,1589,941,648,11,121,6,5,allow
60354,80,7611,80,507,256,388,8,124,5,3,allow
60399,80,36861,80,1168,815,353,6,122,6,4,allow
60348,80,15161,80,10335,1617,8718,19,89,9,10,allow
60420,80,48467,80,513,6454,8044,24,120,12,12,allow
60423,443,61729,443,6849,1103,5746,23,120,12,11,allow
60360,443,24410,443,5212,1101,4111,22,123,12,10,allow
60363,443,28558,443,5214,2093,4113,22,123,14,10,allow
44843,443,27776,443,7199,2633,5789,22,33,11,11,allow
63842,45682,31353,45682,4687209,3850148,837061,4974,107,3004,1970,allow
60430,443,49199,443,5696,1143,4553,23,119,12,11,allow
59878,443,30562,443,3864,2812,1052,17,112,17,9,allow
53179,12502,28254,12502,70,70,0,2,7,2,0,allow
60414,80,46472,80,5124,3499,1625,14,121,8,6,allow
60400,80,41884,80,1704,808,896,10,122,6,4,allow
60407,443,49458,443,8328,1611,6717,25,121,14,11,allow
60398,80,57820,80,378,192,186,3,122,4,3,allow
60339,80,1887,80,35136,7862,27274,53,124,26,27,allow
38641,53,31615,443,318,192,126,6,14,4,2,allow
54996,53,2476,53,168,86,82,2,31,1,1,allow
48066,443,56844,443,62,62,0,1,4,1,0,allow
60811,40010,33835,40010,316,136,180,6,6,3,3,allow
52103,80,61932,80,68083,5515,62568,90,38,40,50,allow
52195,17370,11275,443,13948,1150,12798,29,15,14,15,allow
50000,53,16568,53,502,115,387,4,52,2,2,allow
52193,17248,50924,443,13948,1150,12798,29,15,14,15,allow
55234,53,39283,53,177,94,83,2,29,1,1,allow
55598,80,30484,80,5727,3584,2143,15,31,8,7,allow
60370,80,40899,80,1243,769,474,9,123,6,3,allow
65401,53,57745,53,235,102,133,2,29,1,1,allow
51737,53,3505,53,231,78,153,2,30,1,1,allow
50685,201,6959,80,29397,3001,37265,86,34,39,47,allow
56223,443,46265,443,7882,810,7072,21,15,9,8,allow
54557,192,41721,80,2091,799,1292,10,15,6,4,allow
48818,443,40571,443,4167,1669,2498,23,15,12,11,allow
53973,53,57211,53,199,94,297,2,30,1,1,allow
49245,53,34102,53,376,126,187,2,29,1,1,allow
65258,443,17337,443,6043,1568,4475,11,120,4,7,allow
64399,53,61158,53,230,91,120,2,29,1,1,allow
55234,53,22160,53,177,94,83,2,30,1,1,allow
64593,53,56394,53,94,94,0,1,30,1,0,allow
56911,53,36658,53,177,94,83,2,31,1,1,allow
53977,22266,9645,22266,492,306,186,8,17,1,3,allow
50148,80,57004,80,3853,868,8190,18,46,4,8,allow
53178,42671,21931,42671,70,70,0,2,8,2,0,allow
52181,443,64436,443,7855,815,7040,21,15,9,12,allow
65004,53,23515,53,323,94,229,2,30,1,1,allow
46265,192,19534,443,173828,9311,164517,245,448,118,127,allow
49158,443,27828,443,14490,3560,9020,35,36,19,16,allow
33067,53,47200,53,189,97,90,2,30,1,1,allow
56911,53,39355,53,177,94,83,2,30,1,1,allow
22767,53,22767,53,226,106,138,2,30,1,1,allow
52715,443,38027,443,164840,5975,158865,179,122,61,118,allow
33845,192,39303,192,424,210,214,6,27,4,3,allow
61442,443,28680,443,3403,1891,1512,24,42,13,11,allow
9446,443,50836,443,8672,1863,6809,22,46,11,11,allow
52194,17370,38386,443,12374,1090,11284,27,15,13,14,allow
58306,443,59387,443,864,436,428,13,29,5,6,allow
42412,443,55628,53,204,70,134,4,26,2,2,allow
56710,53,52813,53,177,94,83,2,30,1,1,allow
61396,17157,21435,443,550484,8433,542051,541,246,99,140,allow
61273,443,55960,443,19675,8597,11078,137,67,68,69,allow
50016,53,14072,53,766,103,663,4,41,1,2,allow
58307,11611,36806,443,934,506,428,14,809,8,6,allow
55182,53,36739,53,293,94,199,2,30,1,1,allow
56911,53,31733,53,177,94,83,2,30,1,1,allow
41631,443,38429,443,20180,2263,17263,35,124,14,21,allow
38637,443,35288,443,12339,2392,9947,36,287,16,21,allow
45317,53,22055,53,86,86,0,1,30,1,0,allow
56704,53,2427,53,318,94,154,2,30,1,1,allow
49410,53,62890,53,177,94,83,2,30,1,1,allow
57958,53,45710,53,102,102,32,1,30,1,0,allow
56704,443,32664,443,13812,3042,10770,29,116,15,12,allow
40737,443,35009,443,44004,3909,40095,80,135,38,42,allow
