Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Action
57222.0,53.0,54587.0,53.0,177.0,94.0,83.0,2.0,30.0,1.0,1.0,allow
56258.0,,56258.0,3389.0,4768.0,,3168.0,19.0,17.0,10.0,9.0,allow
6881.0,,43265.0,,238.0,118.0,120.0,2.0,1199.0,1.0,1.0,allow
50553.0,3389.0,50553.0,3389.0,3327.0,1438.0,1889.0,15.0,17.0,8.0,7.0,allow
50002.0,443.0,45848.0,443.0,25358.0,6778.0,18580.0,31.0,16.0,13.0,18.0,allow
51465.0,443.0,39975.0,443.0,3961.0,1595.0,2366.0,21.0,16.0,12.0,9.0,allow
60513.0,47094.0,45469.0,,,140.0,180.0,6.0,7.0,3.0,3.0,allow
50049.0,443.0,,443.0,7912.0,3269.0,4643.0,23.0,96.0,12.0,11.0,allow
52244.0,,2211.0,58774.0,,70.0,0.0,1.0,,1.0,0.0,allow
50627.0,443.0,16215.0,,8256.0,1674.0,6582.0,31.0,75.0,15.0,16.0,allow
43676.0,80.0,45378.0,80.0,696.0,378.0,318.0,12.0,35.0,7.0,,allow
,,16680.0,,7942.0,870.0,7072.0,,15.0,10.0,12.0,allow
50690.0,80.0,20479.0,80.0,4805.0,3639.0,1166.0,16.0,31.0,,7.0,allow
55597.0,53.0,45448.0,53.0,168.0,86.0,82.0,2.0,30.0,1.0,1.0,allow
49164.0,443.0,45916.0,443.0,7292.0,950.0,6342.0,19.0,75.0,9.0,10.0,allow
36887.0,443.0,,443.0,10922.0,2532.0,8390.0,27.0,28.0,13.0,14.0,allow
1939.0,53.0,33288.0,53.0,,78.0,,2.0,30.0,1.0,,allow
50281.0,,,53.0,195.0,102.0,93.0,2.0,30.0,1.0,1.0,allow
57222.0,53.0,51448.0,,177.0,94.0,83.0,,30.0,1.0,1.0,allow
56710.0,53.0,57885.0,53.0,177.0,94.0,83.0,2.0,30.0,,1.0,allow
48488.0,443.0,26104.0,443.0,12993.0,3240.0,9753.0,36.0,24.0,18.0,18.0,allow
50691.0,80.0,,80.0,4237.0,3610.0,627.0,15.0,31.0,8.0,7.0,allow
50693.0,80.0,54649.0,,4465.0,3390.0,1075.0,14.0,,8.0,6.0,allow
,,23603.0,,210.0,78.0,132.0,2.0,,1.0,1.0,allow
50172.0,53.0,,53.0,211.0,78.0,133.0,2.0,30.0,1.0,1.0,allow
38802.0,53.0,38802.0,53.0,216.0,90.0,126.0,2.0,30.0,,1.0,allow
50281.0,53.0,8038.0,53.0,195.0,102.0,93.0,2.0,30.0,1.0,1.0,allow
50051.0,443.0,1683.0,,7912.0,3269.0,4643.0,,96.0,12.0,11.0,allow
52192.0,443.0,41129.0,443.0,13948.0,1150.0,12798.0,29.0,15.0,14.0,15.0,allow
57886.0,443.0,10717.0,443.0,33667.0,25477.0,8190.0,60.0,33.0,34.0,,allow
50289.0,80.0,,,7166.0,1086.0,6080.0,18.0,87.0,9.0,9.0,allow
58615.0,443.0,30095.0,443.0,6796.0,1541.0,5255.0,23.0,,11.0,12.0,allow
38551.0,53.0,14191.0,53.0,168.0,78.0,90.0,2.0,,1.0,1.0,allow
64787.0,,29856.0,53.0,,102.0,626.0,2.0,30.0,1.0,1.0,allow
34529.0,443.0,30445.0,443.0,62652.0,30891.0,,158.0,381.0,67.0,91.0,allow
52184.0,443.0,13267.0,443.0,13902.0,3253.0,10649.0,26.0,135.0,14.0,12.0,allow
60377.0,443.0,,443.0,8678.0,2974.0,5704.0,50.0,123.0,27.0,23.0,allow
59347.0,,59347.0,80.0,,,104157.0,192.0,15.0,,126.0,allow
50077.0,443.0,40548.0,443.0,7976.0,3333.0,4643.0,23.0,25.0,12.0,11.0,allow
50149.0,80.0,2917.0,80.0,11574.0,901.0,10673.0,20.0,46.0,,9.0,allow
50004.0,,10108.0,,8745.0,2603.0,6142.0,19.0,15.0,11.0,8.0,allow
60411.0,80.0,48309.0,80.0,1589.0,941.0,,,121.0,6.0,5.0,allow
60354.0,80.0,7611.0,80.0,644.0,256.0,388.0,8.0,124.0,5.0,3.0,allow
60399.0,80.0,36861.0,80.0,1168.0,815.0,353.0,,122.0,6.0,4.0,allow
60348.0,80.0,15161.0,,10335.0,1617.0,,19.0,124.0,9.0,,allow
60420.0,80.0,1065.0,80.0,14498.0,6454.0,8044.0,24.0,120.0,12.0,12.0,allow
60423.0,443.0,61729.0,443.0,6849.0,1103.0,5746.0,23.0,120.0,12.0,11.0,allow
60360.0,443.0,62556.0,443.0,5212.0,1101.0,4111.0,22.0,123.0,12.0,,allow
60363.0,443.0,28558.0,443.0,5214.0,1101.0,4113.0,22.0,123.0,,10.0,allow
9523.0,,27776.0,443.0,7199.0,,,22.0,33.0,11.0,11.0,allow
63842.0,,31353.0,45682.0,4687209.0,3850148.0,837061.0,,107.0,3004.0,1970.0,allow
60430.0,443.0,49199.0,443.0,5696.0,1143.0,4553.0,23.0,119.0,12.0,11.0,allow
59878.0,443.0,,443.0,3864.0,2812.0,1052.0,17.0,112.0,8.0,9.0,allow
53179.0,12502.0,28254.0,12502.0,70.0,70.0,0.0,2.0,7.0,2.0,0.0,allow
60414.0,80.0,46472.0,80.0,5124.0,3499.0,1625.0,14.0,121.0,8.0,6.0,allow
60400.0,80.0,41884.0,80.0,1704.0,808.0,896.0,,122.0,6.0,4.0,allow
60407.0,,49458.0,443.0,8328.0,1611.0,,,121.0,,11.0,allow
60398.0,80.0,57820.0,80.0,378.0,192.0,186.0,7.0,122.0,4.0,3.0,allow
60339.0,80.0,,80.0,,7862.0,27274.0,53.0,124.0,26.0,27.0,allow
,,31615.0,443.0,318.0,192.0,126.0,6.0,14.0,4.0,2.0,allow
54996.0,53.0,2476.0,53.0,168.0,86.0,82.0,2.0,,1.0,1.0,allow
48066.0,443.0,56844.0,443.0,62.0,62.0,0.0,1.0,4.0,1.0,0.0,allow
60811.0,,33835.0,40010.0,316.0,136.0,180.0,6.0,5.0,3.0,3.0,allow
52103.0,,61932.0,,68083.0,5515.0,62568.0,90.0,38.0,40.0,50.0,allow
52195.0,443.0,11275.0,443.0,13948.0,,12798.0,29.0,,14.0,15.0,allow
50000.0,53.0,16568.0,,,115.0,387.0,4.0,52.0,2.0,2.0,allow
52193.0,443.0,50924.0,443.0,13948.0,1150.0,12798.0,29.0,15.0,,15.0,allow
55234.0,53.0,5157.0,53.0,177.0,94.0,83.0,2.0,29.0,,1.0,allow
50692.0,80.0,30484.0,80.0,5727.0,3584.0,2143.0,15.0,31.0,8.0,7.0,allow
60370.0,80.0,40899.0,80.0,1243.0,769.0,474.0,9.0,123.0,6.0,3.0,allow
65401.0,53.0,57745.0,53.0,235.0,102.0,133.0,2.0,29.0,1.0,1.0,allow
51737.0,,3505.0,53.0,231.0,78.0,153.0,2.0,,,1.0,allow
50685.0,80.0,6959.0,80.0,63891.0,26626.0,37265.0,86.0,34.0,39.0,,allow
52191.0,443.0,,443.0,,,7072.0,21.0,,9.0,12.0,allow
54557.0,80.0,41721.0,,2091.0,799.0,1292.0,10.0,15.0,6.0,,allow
48818.0,,,443.0,4167.0,1669.0,2498.0,23.0,15.0,,11.0,allow
64223.0,53.0,,53.0,199.0,94.0,105.0,2.0,30.0,1.0,1.0,allow
49245.0,,34102.0,53.0,376.0,126.0,250.0,2.0,29.0,1.0,1.0,allow
,,17337.0,443.0,6043.0,,4475.0,11.0,120.0,4.0,7.0,allow
64399.0,53.0,50659.0,53.0,,,120.0,2.0,29.0,1.0,1.0,allow
55234.0,53.0,,53.0,177.0,94.0,83.0,2.0,30.0,1.0,,allow
64593.0,53.0,,,94.0,94.0,0.0,1.0,30.0,1.0,0.0,allow
56911.0,53.0,36658.0,53.0,177.0,,83.0,,31.0,1.0,1.0,allow
